name,id
Josh Marks,386
Blue Ribbon Restaurants,473
Pat Neely,1
La Griglia,542
Jose Garces,189
Zac Kara,454
Big Fish Seafood Bistro,158
Tom Aikens,248
The Habit Burger Grill,537
Chef Sheldon Simeon,293
Ochikeron,171
Taco Bell Cyprus,485
Christophe Michalak,258
Peohe's,534
Destino Ibiza,500
KFC,194
Chef Shirley Chung,34
Doug Adams,465
משה שגב / Moshe Segev,562
Angel Leon Gonzalez,511
Ben Ebbrell - Sorted Chef,201
Dick's Drive In Restaurant,188
John Whaite,440
Andy Luotto,484
Antonino Cannavacciuolo,240
Charley's Crab,533
Anne-Sophie Pic,235
Hilah Cooking,82
Taco Bell Costa Rica,212
Chef Robert Irvine,35
Nutella Cafe Chicago,19
Grand Concourse,154
Domino's Pizza,334
Chef Lorena Garcia,148
James Martin,599
Domino's Pizza,382
Nando's,230
Roy Yamaguchi,7
Susan Feniger,576
McDonald's,164
Al Brown New Zealand Chef,594
Veggie Grill,396
Domino's Pizza,284
McDonald's,63
Franklin Becker,160
McDonald's,573
Éric Frechon,61
KFC,25
The Edgy Veg,409
Domino's Pizza,329
Zoёs Kitchen,211
Chef Mark Garcia,434
Dunkin' Donuts,218
McDonald's,480
Chef Claudia's Cocina,309
McDonald's,313
Alex Guarnaschelli,56
Hari Ghotra,138
Nando's,591
Vicky Ratnani,202
Boston Market,14
Bobby's Burger Palace,246
Chef Guy Martin,462
Pablo Massey,290
McDonald's,518
Burger King Thailand,106
Dunkin' Donuts,477
McDonald's Deutschland Karriere,504
McDonald's,335
Michael White,355
Lillie's Asian Cuisine,33
Aquarium Restaurant - Nashville,496
Manu Feildel,62
맥도날드 (McDonald's),255
Camille Becerra,325
KFC,276
Whataburger,153
Jumia Food,362
Big Fernand,10
Karlos Arguiñano,460
Karen Martini,282
Ogro Jimmy,567
Chili's Tunisie,304
Magnum,5
Carrabba's Italian Grill,339
Domino's Pizza,21
Susur Lee,320
Cook with Chef Duminda,464
KFC,51
Roblé,156
KFC,149
Brooke Williamson,155
René Redzepi,505
Cadillac Bar Kemah,209
Fast Ed,236
Cesare Casella,324
Nando's,527
Gandy Dancer Saloon/Oyster Bar,78
Hardee's,226
Peter Kuruvita,433
Chef Francois Payard,170
PROPERCORN,468
Marc Veyrat,472
Chope,387
Simon Bryant,392
Massimo Mele,193
Chef Sam Talbot,544
José Andrés,9
Opry City Stage,308
Cucina by Wolfgang Puck,370
Iginio Massari,344
Domino's Pizza,144
Thomas Keller,588
Emma Frisch,463
Dunkin' Donuts,521
McDonald's,165
El Torito,215
Chef Marc Murphy,601
Dina Nikolaou,481
KFC,358
Acapulco,204
Delverde,270
Taco Bell Panamá,11
Pollo Campero El Salvador,606
KFC,42
Michael Lomonaco,366
Domino's Pizza Türkiye,150
The Tuscan Gun,322
Burger Lounge,379
Pasqualino Barbasso,608
McDonald's,579
McDonald's,424
Jumia Food,429
Dunkin' Donuts,105
Alfred Portale,242
Magnum,416
Jumia Food,220
Jumia Food,535
Alberto Chicote,337
Lee Anne Wong,0
Nando's PERi-PERi,30
Nando's,213
Paul Qui,207
McDonald's,532
Subway, Cayman Islands,234
Chef Aaron McCargo Jr,615
Chef Carla Hall,350
Gary Mehigan,169
Leslie Gilliams,159
Cook with Amber,456
Sang Yoon,342
KFC,555
McDonald's República Dominicana,491
McDonald's,48
Chef Richard Sandoval,593
Jumia Food,497
Christian Bau,450
Jumia Food,486
McDonald's,85
McDonald's,572
Aliya LeeKong,482
Taco Bell Kuwait,525
McDonald's,488
Chef Ben Ford,361
Taste of London,286
Cristian D'Elia,299
Guillaume Gomez,517
Christine Ha,458
Chef Daniel Boulud,70
Per Se,46
Niko Romito,333
Marc Forgione,257
Noëmie Honiat Top Chef,443
Princi,417
Domino's Pizza,237
Papacho's,412
Hugh Acheson,128
McDonald's,327
Dunkin' Donuts,548
Domino's Pizza,609
McDonald's,612
Jumia Food,6
Alex Atala,146
RIBS - True American Barbecue,582
Burger King Malaysia,523
Chef Sue Zemanick,208
Chef Carlo Cracco,3
McDonald's,179
Chili's Beirut,173
Duff Goldman,312
Domino's Guatemala,263
Dani García,498
Nando's,108
Taco Bell India,241
Brew Bistro and Lounge,561
Maneet Chauhan,549
Mei Lin,254
Chetna Makan,418
Simon Gault,121
Tom Colicchio,288
Chef David Burke,116
Chef Cynthia Louise,53
Eddie V's Prime Seafood,196
Daniel Humm,107
Delverde,187
Nando's,502
Scott Conant,90
Chef Jamie DeRosa,604
Emmi CAFFÈ LATTE,66
Cindy Pawlcyn,281
McDonald's,421
KFC,296
Pierre Gagnaire,376
Outback Steakhouse,305
Chef Hirohiko Shoda,40
Chef Andrew Gruel,436
Donatella Arpaia,439
foodpanda,605
Dean Fearing,23
Chef Charlie Palmer,275
KFC,467
Emmi CAFFÈ LATTE,461
McDonald's,551
Julia Child,584
Geoffrey Zakarian,87
YANNICK ALLENO OFFICIEL,552
Narda Lepes,253
Quique Dacosta,474
McDonald's,45
Tom Douglas Restaurants,268
Nando's,279
Johnny Prep,197
Mathieu Pacaud,401
Mirko Ronzoni,185
Anjali Pathak,80
Second Floor Cafe 貳樓餐飲,402
Chef G. Garvin,302
KFC,332
Chef Maeve Rochford,557
Manjula's Kitchen - Indian Vegetarian Recipes,166
Enrique Olvera,323
Valentin Neraudeau,388
Taco Bell UK,145
Chevys Fresh Mex,540
Nyesha Arrington,250
Luna Grill,96
Chef Nina Compton,373
McDonald's,123
Big Fish Seafood Bistro,437
Dunkin' Donuts,219
Domino's Pizza,613
Chef Rubio,575
Stephanie Izard,510
KFC,559
Kevin Dundon,581
KFC,423
Eduardo Palazuelos,610
Domino's Pizza,152
Harlem EatUp,413
Gavin Kaysen,205
Taco Bell Rep Dom,380
Francesco Sole,272
McDonald's,142
Raymond Blanc,269
Michel Nischan,289
Cuoco Filippo La Mantia,65
Colin Fassnidge,364
Chuck Hughes,345
Amy Thielen,102
Thierry Rautureau,519
Jean-François Piège     -      Page Officielle,363
Chef Diego Lozano,614
Jacques Pépin,317
Donato De Santis,563
Juliana Lopez May,104
McDonald's,586
Robin Miller,611
Cadillac Bar Houston,180
Chef Derrick Fox,479
Nando's,28
McDonald's,515
Domino's Mx,84
Dan Kluger,68
Chef Ana Paula,112
Dunkin' Donuts,556
Taco Bell,264
Bryce Shuman,550
Eva Arguiñano,587
Gandy Dancer,210
McDonald's,297
Alex French Guy Cooking,251
Magnum,266
Marcus Samuelsson,217
Tom's Kitchen,499
McDonald's,487
foodpanda,26
Dairy Queen,326
Roxanne Spruance,569
hellofood,301
McDonald's,127
Hearth,359
Elizabeth Karmel,603
Eddie Jackson - FIT CHEF EDDIE,321
KFC,598
KFC,565
Subway,618
Douglas Keane,59
Emmi CAFFÈ LATTE,574
McDonald's,524
Martín Berasategui,88
Shane Delia,285
Chili's México,73
Katie Pix,110
Danny Smiles,391
Ranveer Brar,426
Diego Guerrero,64
McDonald's,357
翠華餐廳 Tsui Wah Restaurant,190
Five Guys,589
Domino's Pizza,75
Samin Nosrat,617
McDonald's,566
Morton's The Steakhouse,129
River Crab Blue Water Inn,55
George Pagonis,4
Steve Konopelski,394
Bruno Oteiza,571
Nikki Dinki,451
Virginia Willis,446
Nando's,547
McDonald's,315
McDonald's,508
Chef Alex Levin,607
McDonald's,348
Aarón Sánchez,597
Dan Steph & Emmy,341
Dunkin' Donuts,267
Chef Elizabeth Falkner,198
Ernst Knam,17
Guy Savoy,244
McDonald's Japan,595
Nando's,438
McDonald's,191
Chef Clément,459
Christina Tosi,15
Paul Hollywood,408
Xi'an Famous Foods 西安名吃,167
Emmi CAFFÈ LATTE,141
Lío,513
Guga Rocha,93
Jock Zonfrillo,228
foodpanda - 空腹熊貓,216
Chef Carmen Gonzalez,239
Suzanne Goin,509
McDonald's,395
Food Busker,184
Crepes & Waffles,91
McDonald's,430
Jumia Food,478
Matthew Kenney,122
Ken Oringer,351
Gemma Stafford,407
KFC,113
Buddy Valastro,120
Bahama Breeze Island Grille,29
Domino's Pizza,400
Marcel Vigneron,445
Krispy Kreme UK,200
Kunal Kapur,300
Gregory Gourdet,83
Ben Sargent & Dr. Klaw,2
Domino's Pizza,119
Martha Collison,506
Francis Mallmann,225
Cat Cora,60
Mary Nolan, Bon Appétit Executive Chef,514
Bobby Flay,182
Taste Of Paris Official,368
McDonald's,118
RED Sushi and Hibachi Grill,490
Chili's Qatar,369
Bubba Gump Shrimp Co.,331
Seamus Mullen,238
Blue Ribbon Fried Chicken,206
McDonald's,546
Famous Dave's Bar-B-Que of America,294
達美樂披薩,101
Chef Jamie Gwen,58
Chef Marcela Valladolid,175
McDonald's,596
Chef Rick Tramonto,277
Chef Todd Mohr,406
Franklin Barbecue,233
Spago Las Vegas,135
Ludo Lefebvre,245
Donal Skehan,143
Anis Nabilah,600
Magnum,287
KFC,466
Bradley Ogden,536
Chef Michael Ferraro,383
Jumia Food,427
Tim Love,130
Domino's Pizza,16
Audra Morrice,109
Chef Kent Graham,89
Santiago Giorgini,232
CAKE-BOY,560
Carl's Jr. NZ,192
Rachel Allen,172
Pierre Sang Boyer Officiel,470
McDonald's,316
McDonald's,328
Lindsay Ann Bakes,133
Anne Burrell,151
Chope,390
Steak 'n Shake,475
Chef Michael Smith,384
McDonald's,347
Maru Botana,81
Red Lobster México,178
KFC,619
FONDA MEXICANA,367
Chef Jennifer Carroll,221
Jimmy John's,330
Vegan Black Metal Chef,195
Celler de Can Roca,69
Juan Mari Arzak (Página oficial),385
Dining with Flynn,131
McDonald's,100
KFC,222
Chef Adrianne,378
KFC,522
Chef Rick Moonen,558
foodpanda,74
Dunkin' Donuts,249
foodpanda,471
Nando's,147
Chef Dana Cohen HK,260
McDonald's,507
Taco Bell El Salvador,259
foodpanda,98
Madison Cowan,132
Puesto,77
Justin Warner,111
Eckart Witzigmann,13
My Cupcake Addiction,397
Matt Moran,41
Frantzén,592
KFC,415
Telepizza Guatemala,318
Jehangir,161
Johnny Iuzzini,372
Pedro Lambertini,493
McDonald's,307
Dale Talde,455
Amandine Chaignot,262
Graham Elliot,432
McDonald's,585
Skinny Chef,399
Chef Rusty Hamlin,177
Domino's Pizza,545
Chef Mary Sue Milliken,39
Delverde,420
Alessandro Borghese,377
Chef Jet Tila,229
Grotto,223
Domino's Pizza,441
McDonald's,38
Seasons 52,512
Norbert Tarayre,590
Chef Jimmy Boswell,553
McDonald's Paraguay,256
Relais & Châteaux,530
Four Seasons Hotels and Resorts,442
Sanjeev Kapoor,32
Chef Billy Parisi,50
Ravintola Salve,36
Claire Robinson,271
Paul Bocuse,526
UMass Dining,314
Domino's Pizza Nigeria,353
Chef Brian Duffy,243
Barbie Marshall,298
McDonald's Vietnam,27
Kirti Bhoutika,44
McDonald's,457
DedeMed,422
Spike Mendelsohn,531
Outlander Kitchen,564
Wolfgang Puck,227
Russell Jackson,37
D'O - Davide Oldani,577
KFC,398
Chef Casey Thompson,54
도미노피자(Dominostory),124
McDonald's,602
Dunkin' Donuts,12
Bruno Ménard,181
Dean Sheremet,338
Emily Ellyn,389
Hakim Chajar,203
'Wichcraft,528
Gino D'Acampo,346
Noma,410
Alain Ducasse,352
Texas Roadhouse,76
Logan Junior Chef,265
Domino's Pizza,516
MASAの料理ABC,186
Chili's Grill & Bar,8
McDonald's,31
Emmi CAFFÈ LATTE,280
Nando's,306
Josh Elkin,580
KFC,319
McDonald's,79
Bruno Barbieri,538
NishaMadhulika,18
Christophe Adam,476
KFC,52
Chart House,214
McDonald's,543
Chef Ben Churchill,291
Sonia Peronaci,356
Crystal Jade Palace - JW Marriott Hotel Hanoi,231
Meriwether's,452
Harold Dieterle,349
Domino's Pizza,274
José Santaella,568
McDonald's,199
Monti Carlo,360
Domino's Pizza,117
Taco Bell Guatemala,174
Maria Loi,20
Red Robin Gourmet Burgers,247
Pescaria,405
Nando's,501
Eric Ripert,340
Chef Pete Evans,449
KFC,365
Saransh Goila,183
Crystal Jade Singapore,425
Ricardo Cuisine,435
Roy Choi,43
Burger King Nederland,95
Fabio Viviani,136
Felicitas Pizarro,134
João Alcantara,94
foodpanda,295
Magnum,303
foodpanda,99
Dunkin' Coffee,310
Chick-fil-A,483
Nando's,24
Domino's Pizza,137
foodpanda / hellofood,176
foodpanda,393
Olive Garden México,495
Hubert Keller,343
Five Guys,489
Levi Eirinberg,375
Joanna 劉韋彤,92
Hard Rock Cafe Ibiza,47
Pollo Campero Guatemala,447
麥當勞,414
Delverde,22
Kristen Kish,570
Angelo Sosa,283
KFC,125
McDonald's,292
Relais & Châteaux,72
ChefAlexander,404
Wings,539
Ignacio Mattos,273
John DeLucie,616
McDonald's,448
Los Petersen Cocineros,354
Nando's,126
Germán Martitegui,469
Sam Choy,453
Magnum,503
McDonald's,139
Roy's Restaurant,444
Carl's Jr.,371
Bonefish Grill,583
Domino's Australia,311
Christian Le Squer,224
Olive Garden,71
Taco Bell Careers,57
Christophe Bacquie,403
